sku_id,category_id,period,qty_total
598294111,672241,2024-11-25,0.8145159443382962
598294111,672241,2024-12-02,0.8143344243011141
598294111,672241,2024-12-09,0.8142675840966658
598294111,672241,2024-12-16,0.31413937606328446
598294111,672241,2024-12-23,0.8140147287241217
598294111,672241,2024-12-30,1.3138824877900555
598294111,672241,2025-01-06,0.813762720048638
598294111,672241,2025-01-13,2.3135916651374946
598294111,672241,2025-01-20,3.313458057931882
598294111,672241,2025-01-27,2.313314367981925
598294111,672241,2025-02-03,1.813153877883239
598294111,672241,2025-02-10,0.8130017718589428
598294111,672241,2025-02-17,0.8128730686528103
598294111,672241,2025-02-24,0.812773733827687
598294111,672241,2025-03-03,0.8127064884161829
598302302,672241,2024-11-25,0.05698800968134627
598302302,672241,2024-12-02,0.057003767669666375
598302302,672241,2024-12-09,0.05702055656191694
598302302,672241,2024-12-16,0.05703821672930591
598302302,672241,2024-12-23,0.5570905474861364
598302302,672241,2024-12-30,0.057078235925081496
598302302,672241,2025-01-06,1.0571002905435352
598302302,672241,2025-01-13,0.057122786108499746
598302302,672241,2025-01-20,0.05714558783422402
598302302,672241,2025-01-27,0.05716864793998268
598302302,672241,2025-02-03,0.057191887249932793
598302302,672241,2025-02-10,1.0571474142985324
598302302,672241,2025-02-17,0.05723355689054678
598302302,672241,2025-02-24,0.05725195958059075
598302302,672241,2025-03-03,0.05727027523777149
599653937,672241,2024-11-25,10.457043013773195
599653937,672241,2024-12-02,1.5356572655931098
599653937,672241,2024-12-09,1.6135137790532819
599653937,672241,2024-12-16,1.1902703421965717
599653937,672241,2024-12-23,1.2660158805678028
599653937,672241,2024-12-30,1.3407263269474785
599653937,672241,2025-01-06,2.4143523811956666
599653937,672241,2025-01-13,2.487042300447643
599653937,672241,2025-01-20,2.058671801090102
599653937,672241,2025-01-27,6.62945787955079
599653937,672241,2025-02-03,1.6987847973304768
599653937,672241,2025-02-10,3.2672895052979567
599653937,672241,2025-02-17,2.3348434448673823
599653937,672241,2025-02-24,2.9013113311227654
599653937,672241,2025-03-03,2.966837996728397
599703217,672241,2024-11-25,4.365007393170063
599703217,672241,2024-12-02,6.365116157150087
599703217,672241,2024-12-09,3.8646074041621623
599703217,672241,2024-12-16,2.8647592829637496
599703217,672241,2024-12-23,1.8644138609594525
599703217,672241,2024-12-30,5.364062682524054
599703217,672241,2025-01-06,2.3642786187056135
599703217,672241,2025-01-13,5.363780320287431
599703217,672241,2025-01-20,2.3642135814661547
599703217,672241,2025-01-27,2.3642580405706504
599703217,672241,2025-02-03,1.8641602786672125
599703217,672241,2025-02-10,1.3640872455410844
599703217,672241,2025-02-17,2.864245504916267
599703217,672241,2025-02-24,0.8640733939699801
599703217,672241,2025-03-03,4.364180441304122
746436995,672241,2024-11-25,0.3586161906358564
746436995,672241,2024-12-02,-0.11940728009124812
746436995,672241,2024-12-09,-0.09769201535067984
746436995,672241,2024-12-16,-0.0762462234050238
746436995,672241,2024-12-23,-0.05506947688507291
746436995,672241,2024-12-30,1.4658643455492322
746436995,672241,2025-01-06,0.9864932011030657
746436995,672241,2025-01-13,0.006843827289954085
746436995,672241,2025-01-20,0.5269525463302727
746436995,672241,2025-01-27,0.046775505146772145
746436995,672241,2025-02-03,0.06633921607245857
746436995,672241,2025-02-10,0.08563542365151022
746436995,672241,2025-02-17,0.604672783817429
746436995,672241,2025-02-24,0.6234331137712992
746436995,672241,2025-03-03,0.14191669888672526
2709580011,672241,2024-11-25,1.3762170713316286
2709580011,672241,2024-12-02,1.3674626482405778
2709580011,672241,2024-12-09,1.3585747794088332
2709580011,672241,2024-12-16,1.354446059424493
2709580011,672241,2024-12-23,1.3482572897898006
2709580011,672241,2024-12-30,1.3434953442866573
2709580011,672241,2025-01-06,1.3445217010407147
2709580011,672241,2025-01-13,1.3440034861840542
2709580011,672241,2025-01-20,1.3407579173214028
2709580011,672241,2025-01-27,1.3418784020338963
2709580011,672241,2025-02-03,1.9025557328393121
2709580011,672241,2025-02-10,1.3534803628033514
2709580011,672241,2025-02-17,1.910602504677514
2709580011,672241,2025-02-24,1.9127928209515552
2709580011,672241,2025-03-03,2.8096645442704036
2709580215,672241,2024-11-25,2.0519457632517457
2709580215,672241,2024-12-02,1.0549667839097292
2709580215,672241,2024-12-09,1.5557618075005908
2709580215,672241,2024-12-16,1.558181292242179
